disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_set,possible_diseases,differentiating_factor,symptom_count
Fungal infection,33,35,35,11,12,20, muscle_weakness +  stiff_neck,"Arthritis, Acne, Drug Reaction",8,7
Fungal infection,24,27,18,19,12,20, acidity +  indigestion,"Migraine, Hypothyroidism, Hyperthyroidism",4,7
Fungal infection,33,27,18,19,12,20,itching +  fatigue,"Hepatitis B, Osteoarthristis, Fungal infection",8,7
Fungal infection,33,35,18,19,12,20,itching +  skin_rash,"Drug Reaction, Cervical spondylosis, Psoriasis",1,7
Fungal infection,33,35,35,19,12,20, burning_micturition +  bladder_discomfort,"Urinary tract infection, Alcoholic hepatitis, Heart attack",4,7
Fungal infection,24,27,18,19,12,20, joint_pain +  vomiting,"hepatitis A, Typhoid, Alcoholic hepatitis",5,7
Fungal infection,33,27,18,19,12,20, skin_rash +  pus_filled_pimples,"Acne, hepatitis A",1,7
Fungal infection,33,35,18,19,12,20, headache +  chest_pain,"Hypertension , Hypoglycemia, Dengue",4,7
Fungal infection,33,35,35,19,12,20, stomach_pain +  ulcers_on_tongue,"GERD, Arthritis",0,7
Fungal infection,33,35,35,11,12,20, bladder_discomfort +  foul_smell_of urine,"Urinary tract infection, Hepatitis C, Malaria",6,7
Allergy,8,33,11,45,12,20,itching +  vomiting,"Jaundice, Hyperthyroidism, Hepatitis E",0,7
Allergy,23,9,50,19,12,20, fatigue +  weight_gain,"Hypothyroidism, Hepatitis B, Acne",4,7
Allergy,8,9,50,19,12,20, headache +  chest_pain,"Hypertension , Hypoglycemia, Gastroenteritis",1,7
Allergy,8,33,50,19,12,20, continuous_sneezing +  shivering,"Allergy, Fungal infection",4,7
Allergy,8,33,11,19,12,20, skin_rash +  blackheads,"Acne, Alcoholic hepatitis, Hepatitis C",6,7
Allergy,23,9,50,19,12,20, chills +  fatigue,"Pneumonia, hepatitis A, Arthritis",4,7
Allergy,8,9,50,19,12,20, joint_pain +  vomiting,"Hepatitis D, Varicose veins, AIDS",1,7
Allergy,8,33,50,19,12,20, weakness_in_limbs +  neck_pain,"Cervical spondylosis, Allergy, AIDS",1,7
Allergy,8,33,11,19,12,20, fatigue +  yellowish_skin,"Hepatitis C, Gastroenteritis, Chronic cholestasis",4,7
Allergy,8,33,11,45,12,20, vomiting +  headache,"(vertigo) Paroymsal  Positional Vertigo, Varicose veins, Common Cold",0,7
GERD,26,1,48,44,4,3, muscle_wasting +  patches_in_throat,"AIDS, (vertigo) Paroymsal  Positional Vertigo, Chicken pox",5,7
GERD,26,41,49,8,3,20, joint_pain +  vomiting,"hepatitis A, Hepatitis C, Hypertension ",6,7
GERD,26,1,49,8,3,20, vomiting +  fatigue,"Jaundice, Migraine, Hepatitis B",5,7
GERD,26,1,48,8,3,20, vomiting +  breathlessness,"Heart attack, Cervical spondylosis, Urinary tract infection",5,7
GERD,26,1,48,44,3,20, fatigue +  cramps,"Varicose veins, Peptic ulcer diseae, Heart attack",6,7
GERD,26,1,48,44,4,20, constipation +  pain_during_bowel_movements,"Dimorphic hemmorhoids(piles), Hypothyroidism, Alcoholic hepatitis",6,7
GERD,0,41,49,8,3,20, joint_pain +  vomiting,"Hepatitis D, Osteoarthristis, Cervical spondylosis",4,7
GERD,26,41,49,8,3,20, vomiting +  indigestion,"Peptic ulcer diseae, AIDS, Tuberculosis",5,7
GERD,26,1,49,8,3,20, fatigue +  yellowish_skin,"Hepatitis C, Peptic ulcer diseae, hepatitis A",4,7
GERD,26,1,48,8,3,20, fatigue +  yellowish_skin,"Hepatitis C, Typhoid, GERD",1,7
Chronic cholestasis,33,42,53,29,21,0, fatigue +  yellowish_skin,"Hepatitis C, Dengue, Chicken pox",0,7
Chronic cholestasis,28,47,33,25,0,30, breathlessness +  sweating,"Heart attack, Migraine",1,7
Chronic cholestasis,33,47,33,25,0,30, joint_pain +  neck_pain,"Osteoarthristis, Hepatitis C, Allergy",1,7
Chronic cholestasis,33,42,33,25,0,30, vomiting +  breathlessness,"Heart attack, Hepatitis D, Psoriasis",1,7
Chronic cholestasis,33,42,53,25,0,30, chills +  vomiting,"Malaria, Urinary tract infection, Chronic cholestasis",0,7
Chronic cholestasis,33,42,53,29,0,30, headache +  chest_pain,"Hypertension , AIDS, Bronchial Asthma",2,7
Chronic cholestasis,33,42,53,29,21,30, skin_rash +  joint_pain,"Psoriasis, Hyperthyroidism, Hepatitis E",9,7
Chronic cholestasis,33,42,53,29,21,0, chills +  vomiting,"Typhoid, Hyperthyroidism, Diabetes ",5,7
Chronic cholestasis,33,42,53,29,21,0, fatigue +  mood_swings,"Hyperthyroidism, Diabetes , Hepatitis E",6,7
Chronic cholestasis,33,42,53,29,21,0, joint_pain +  vomiting,"hepatitis A, Hepatitis D",1,7
Drug Reaction,33,35,44,5,28,20, continuous_sneezing +  chills,"Common Cold, AIDS, Urinary tract infection",8,7
Drug Reaction,33,37,9,39,12,20, skin_rash +  chills,"Dengue, Psoriasis, Alcoholic hepatitis",2,7
Drug Reaction,33,35,9,39,12,20,itching +  fatigue,"Hepatitis B, Arthritis, Peptic ulcer diseae",4,7
Drug Reaction,33,35,44,39,12,20, acidity +  indigestion,"Migraine, Typhoid, Hepatitis E",1,7
Drug Reaction,33,35,44,5,12,20, constipation +  pain_in_anal_region,"Dimorphic hemmorhoids(piles), Hypothyroidism, Peptic ulcer diseae",0,7
Drug Reaction,24,37,9,39,12,20, skin_rash +  high_fever,"Impetigo, Jaundice, Hypoglycemia",3,7
Drug Reaction,33,37,9,39,12,20, fatigue +  cramps,"Varicose veins, Osteoarthristis, Hypertension ",6,7
Drug Reaction,33,35,9,39,12,20, fatigue +  cramps,"Varicose veins, Allergy, Hyperthyroidism",2,7
Drug Reaction,33,35,44,39,12,20,itching +  skin_rash,"Chicken pox, Pneumonia, Psoriasis",6,7
Drug Reaction,33,35,44,5,12,20, patches_in_throat +  high_fever,"AIDS, Gastroenteritis, Hepatitis B",5,7
Peptic ulcer diseae,28,23,0,32,16,20, skin_rash +  high_fever,"Impetigo, Paralysis (brain hemorrhage), Psoriasis",0,7
Peptic ulcer diseae,28,19,0,32,16,20, acidity +  indigestion,"Migraine, Hepatitis B, Bronchial Asthma",6,7
Peptic ulcer diseae,14,23,0,32,16,20, vomiting +  sunken_eyes,"Gastroenteritis, Common Cold, Migraine",9,7
Peptic ulcer diseae,28,23,0,32,16,20, chills +  vomiting,"Tuberculosis, Malaria, GERD",5,7
Peptic ulcer diseae,28,19,0,32,16,20, burning_micturition +  bladder_discomfort,"Urinary tract infection, Acne, Hepatitis B",6,7
Peptic ulcer diseae,28,19,29,32,16,20, continuous_sneezing +  chills,"Common Cold, (vertigo) Paroymsal  Positional Vertigo, Chronic cholestasis",4,7
Peptic ulcer diseae,28,19,29,0,16,20,itching +  fatigue,"Hepatitis B, Hypothyroidism, Acne",1,7
Peptic ulcer diseae,28,19,29,0,26,20, muscle_weakness +  stiff_neck,"Arthritis, Malaria, hepatitis A",3,7
Peptic ulcer diseae,28,19,29,0,26,16, fatigue +  cough,"Bronchial Asthma, Typhoid, Diabetes ",3,7
Peptic ulcer diseae,28,19,29,0,26,16, muscle_wasting +  patches_in_throat,"AIDS, Typhoid, Bronchial Asthma",0,7
AIDS,17,30,24,15,12,20, vomiting +  yellowish_skin,"Alcoholic hepatitis, Allergy, GERD",4,7
AIDS,21,18,20,19,12,20, chest_pain +  dizziness,"Hypertension , Pneumonia, Typhoid",6,7
AIDS,17,18,20,19,12,20, vomiting +  headache,"Paralysis (brain hemorrhage), Urinary tract infection, Alcoholic hepatitis",5,7
AIDS,17,30,20,19,12,20, stomach_pain +  ulcers_on_tongue,"GERD, Typhoid, Peptic ulcer diseae",6,7
AIDS,17,30,24,19,12,20, joint_pain +  vomiting,"Hepatitis E, Malaria, Gastroenteritis",0,7
AIDS,17,30,24,15,12,20, neck_pain +  knee_pain,"Osteoarthristis, Hypertension , Hyperthyroidism",6,7
AIDS,17,30,24,15,12,20, muscle_wasting +  patches_in_throat,"AIDS, Hepatitis B, Jaundice",8,7
AIDS,21,18,20,19,12,20,itching +  skin_rash,"Drug Reaction, Hepatitis E, Dengue",7,7
AIDS,17,18,20,19,12,20, chills +  fatigue,"Pneumonia, Hypertension , Jaundice",1,7
AIDS,17,30,24,19,12,20, skin_rash +  pus_filled_pimples,"Acne, Dengue, Pneumonia",6,7
Diabetes ,11,46,39,24,17,1, chills +  vomiting,"Typhoid, Hypoglycemia, Common Cold",9,7
Diabetes ,11,46,39,24,17,1, skin_rash +  blister,"Impetigo, Hepatitis B, Hypothyroidism",8,7
Diabetes ,31,32,28,21,1,21, joint_pain +  neck_pain,"Osteoarthristis, AIDS, Hypothyroidism",8,7
Diabetes ,11,32,28,21,1,21, chills +  fatigue,"Pneumonia, Urinary tract infection, Peptic ulcer diseae",0,7
Diabetes ,11,46,28,21,1,21, vomiting +  headache,"(vertigo) Paroymsal  Positional Vertigo, Hyperthyroidism, Hepatitis D",9,7
Diabetes ,11,46,39,21,1,21, acidity +  indigestion,"Migraine, Osteoarthristis, Allergy",8,7
Diabetes ,11,46,39,24,1,21, chills +  joint_pain,"Dengue, Hepatitis C, Hepatitis D",7,7
Diabetes ,11,46,39,24,17,21, headache +  chest_pain,"Hypertension , Chronic cholestasis, Bronchial Asthma",7,7
Diabetes ,11,46,39,24,17,1, vomiting +  breathlessness,"Heart attack, Gastroenteritis, Psoriasis",9,7
Diabetes ,11,46,39,24,17,1, skin_rash +  high_fever,"Impetigo, Acne, Varicose veins",5,7
Gastroenteritis,28,38,16,10,12,20, skin_rash +  pus_filled_pimples,"Acne, Alcoholic hepatitis, Urinary tract infection",6,7
Gastroenteritis,28,38,16,10,12,20, fatigue +  cough,"Bronchial Asthma, Dimorphic hemmorhoids(piles), Osteoarthristis",0,7
Gastroenteritis,27,13,17,19,12,20, skin_rash +  chills,"Dengue, Pneumonia, Osteoarthristis",4,7
Gastroenteritis,28,13,17,19,12,20, joint_pain +  vomiting,"hepatitis A, Tuberculosis, Hepatitis D",0,7
Gastroenteritis,28,38,17,19,12,20, continuous_sneezing +  chills,"Common Cold, Varicose veins, GERD",4,7
Gastroenteritis,28,38,16,19,12,20, fatigue +  mood_swings,"Hyperthyroidism, Cervical spondylosis, Allergy",7,7
Gastroenteritis,28,38,16,10,12,20, chills +  vomiting,"Tuberculosis, Bronchial Asthma, AIDS",6,7
Gastroenteritis,27,13,17,19,12,20, muscle_wasting +  patches_in_throat,"AIDS, Chronic cholestasis, Hepatitis B",9,7
Gastroenteritis,28,13,17,19,12,20, fatigue +  yellowish_skin,"Hepatitis C, Hepatitis B, Malaria",3,7
