symptom,duration,interpretation,risk_level,clinical_category,emergency_flag
Fever,5,Acute condition likely,2,4,1
Fever,5,Possible infection,3,0,0
Fever,5,Monitor symptoms,4,3,1
Fever,5,Requires clinical evaluation,1,1,0
Fever,5,Chronic condition suspected,2,2,1
Fever,5,Emergency evaluation needed,3,4,0
Fever,5,Lifestyle-related issue possible,4,0,1
Fever,5,Underlying disease progression,1,3,0
Fever,1,Acute condition likely,2,1,1
Fever,1,Possible infection,3,2,0
Fever,1,Monitor symptoms,4,4,1
Fever,1,Requires clinical evaluation,1,0,0
Fever,1,Chronic condition suspected,2,3,1
Fever,1,Emergency evaluation needed,3,1,0
Fever,1,Lifestyle-related issue possible,4,2,1
Fever,1,Underlying disease progression,1,4,0
Fever,4,Acute condition likely,2,0,1
Fever,4,Possible infection,3,3,0
Fever,4,Monitor symptoms,4,1,1
Fever,4,Requires clinical evaluation,1,2,0
Fever,4,Chronic condition suspected,2,4,1
Fever,4,Emergency evaluation needed,3,0,0
Fever,4,Lifestyle-related issue possible,4,3,1
Fever,4,Underlying disease progression,1,1,0
Fever,0,Acute condition likely,2,2,1
Fever,0,Possible infection,3,4,0
Fever,0,Monitor symptoms,4,0,1
Fever,0,Requires clinical evaluation,1,3,0
Fever,0,Chronic condition suspected,2,1,1
Fever,0,Emergency evaluation needed,3,2,0
Fever,0,Lifestyle-related issue possible,4,4,1
Fever,0,Underlying disease progression,1,0,0
Fever,3,Acute condition likely,2,3,1
Fever,3,Possible infection,3,1,0
Fever,3,Monitor symptoms,4,2,1
Fever,3,Requires clinical evaluation,1,4,0
Fever,3,Chronic condition suspected,2,0,1
Fever,3,Emergency evaluation needed,3,3,0
Fever,3,Lifestyle-related issue possible,4,1,1
Fever,3,Underlying disease progression,1,2,0
Fever,2,Acute condition likely,2,4,1
Fever,2,Possible infection,3,0,0
Fever,2,Monitor symptoms,4,3,1
Fever,2,Requires clinical evaluation,1,1,0
Fever,2,Chronic condition suspected,2,2,1
Fever,2,Emergency evaluation needed,3,4,0
Fever,2,Lifestyle-related issue possible,4,0,1
Fever,2,Underlying disease progression,1,3,0
Fever,6,Acute condition likely,2,1,1
Fever,6,Possible infection,3,2,0
Fever,6,Monitor symptoms,4,4,1
Fever,6,Requires clinical evaluation,1,0,0
Fever,6,Chronic condition suspected,2,3,1
Fever,6,Emergency evaluation needed,3,1,0
Fever,6,Lifestyle-related issue possible,4,2,1
Fever,6,Underlying disease progression,1,4,0
Cough,5,Acute condition likely,2,0,1
Cough,5,Possible infection,3,3,0
Cough,5,Monitor symptoms,4,1,1
Cough,5,Requires clinical evaluation,1,2,0
Cough,5,Chronic condition suspected,2,4,1
Cough,5,Emergency evaluation needed,3,0,0
Cough,5,Lifestyle-related issue possible,4,3,1
Cough,5,Underlying disease progression,1,1,0
Cough,1,Acute condition likely,2,2,1
Cough,1,Possible infection,3,4,0
Cough,1,Monitor symptoms,4,0,1
Cough,1,Requires clinical evaluation,1,3,0
Cough,1,Chronic condition suspected,2,1,1
Cough,1,Emergency evaluation needed,3,2,0
Cough,1,Lifestyle-related issue possible,4,4,1
Cough,1,Underlying disease progression,1,0,0
Cough,4,Acute condition likely,2,3,1
Cough,4,Possible infection,3,1,0
Cough,4,Monitor symptoms,4,2,1
Cough,4,Requires clinical evaluation,1,4,0
Cough,4,Chronic condition suspected,2,0,1
Cough,4,Emergency evaluation needed,3,3,0
Cough,4,Lifestyle-related issue possible,4,1,1
Cough,4,Underlying disease progression,1,2,0
Cough,0,Acute condition likely,2,4,1
Cough,0,Possible infection,3,0,0
Cough,0,Monitor symptoms,4,3,1
Cough,0,Requires clinical evaluation,1,1,0
Cough,0,Chronic condition suspected,2,2,1
Cough,0,Emergency evaluation needed,3,4,0
Cough,0,Lifestyle-related issue possible,4,0,1
Cough,0,Underlying disease progression,1,3,0
Cough,3,Acute condition likely,2,1,1
Cough,3,Possible infection,3,2,0
Cough,3,Monitor symptoms,4,4,1
Cough,3,Requires clinical evaluation,1,0,0
Cough,3,Chronic condition suspected,2,3,1
Cough,3,Emergency evaluation needed,3,1,0
Cough,3,Lifestyle-related issue possible,4,2,1
Cough,3,Underlying disease progression,1,4,0
Cough,2,Acute condition likely,2,0,1
Cough,2,Possible infection,3,3,0
Cough,2,Monitor symptoms,4,1,1
Cough,2,Requires clinical evaluation,1,2,0
Cough,2,Chronic condition suspected,2,4,1
Cough,2,Emergency evaluation needed,3,0,0
Cough,2,Lifestyle-related issue possible,4,3,1
Cough,2,Underlying disease progression,1,1,0
Cough,6,Acute condition likely,2,2,1
Cough,6,Possible infection,3,4,0
Cough,6,Monitor symptoms,4,0,1
Cough,6,Requires clinical evaluation,1,3,0
Cough,6,Chronic condition suspected,2,1,1
Cough,6,Emergency evaluation needed,3,2,0
Cough,6,Lifestyle-related issue possible,4,4,1
Cough,6,Underlying disease progression,1,0,0
Chest Pain,5,Acute condition likely,2,3,1
Chest Pain,5,Possible infection,3,1,0
Chest Pain,5,Monitor symptoms,4,2,1
Chest Pain,5,Requires clinical evaluation,1,4,0
Chest Pain,5,Chronic condition suspected,2,0,1
Chest Pain,5,Emergency evaluation needed,3,3,0
Chest Pain,5,Lifestyle-related issue possible,4,1,1
Chest Pain,5,Underlying disease progression,1,2,0
Chest Pain,1,Acute condition likely,2,4,1
Chest Pain,1,Possible infection,3,0,0
Chest Pain,1,Monitor symptoms,4,3,1
Chest Pain,1,Requires clinical evaluation,1,1,0
Chest Pain,1,Chronic condition suspected,2,2,1
Chest Pain,1,Emergency evaluation needed,3,4,0
