drug,disease,dosage,side_effects,contraindications,drug_category,general_precaution,administration_route,population_group,risk_level,disclaimer,temporal_severity_score
400,Fever,10,Nausea,Severe liver disease,1,8,1,0,1,1,1
297,Pain,7,GI upset,Peptic ulcer,8,1,1,2,2,2,2
1,Bacterial Infection,10,Rash,Penicillin allergy,2,9,1,1,3,2,3
349,Type 2 Diabetes,10,Diarrhea,Renal failure,3,3,1,0,4,2,4
0,Hypertension,8,Edema,Severe hypotension,4,2,1,2,1,2,1
450,Asthma,3,Tremor,Arrhythmia,5,7,0,1,2,0,2
399,GERD,4,Headache,Hypersensitivity,9,6,1,0,3,1,3
348,Hypertension,9,Dizziness,Pregnancy,0,4,1,2,4,2,4
298,Diabetes,0,Hypoglycemia,Dose errors,7,5,2,1,1,0,1
2,Respiratory Infection,10,Nausea,QT prolongation,2,0,1,0,2,2,2
145,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,3,2,3
343,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,4,2,4
194,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,1,2,1
243,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,2,2,2
445,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,3,2,3
495,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,4,2,4
394,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,1,2,1
96,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,2,2,2
47,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,3,2,3
292,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,4,2,4
116,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,1,2,1
314,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,2,2,2
165,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,3,2,3
214,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,4,2,4
416,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,1,2,1
466,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,2,2,2
365,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,3,2,3
67,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,4,2,4
18,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,1,2,1
263,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,2,2,2
106,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,3,2,3
304,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,4,2,4
155,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,1,2,1
204,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,2,2,2
406,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,3,2,3
456,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,4,2,4
355,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,1,2,1
57,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,2,2,2
8,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,3,2,3
253,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,4,2,4
101,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,1,2,1
299,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,2,2,2
150,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,3,2,3
199,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,4,2,4
401,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,1,2,1
451,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,2,2,2
350,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,3,2,3
52,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,4,2,4
3,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,1,2,1
248,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,2,2,2
140,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,3,2,3
338,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,4,2,4
189,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,1,2,1
238,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,2,2,2
440,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,3,2,3
490,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,4,2,4
389,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,1,2,1
91,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,2,2,2
42,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,3,2,3
287,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,4,2,4
131,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,1,2,1
329,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,2,2,2
180,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,3,2,3
229,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,4,2,4
431,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,1,2,1
481,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,2,2,2
380,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,3,2,3
82,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,4,2,4
33,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,1,2,1
278,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,2,2,2
126,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,3,2,3
324,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,4,2,4
175,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,1,2,1
224,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,2,2,2
426,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,3,2,3
476,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,4,2,4
375,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,1,2,1
77,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,2,2,2
28,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,3,2,3
273,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,4,2,4
111,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,1,2,1
309,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,2,2,2
160,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,3,2,3
209,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,4,2,4
411,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,1,2,1
461,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,2,2,2
360,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,3,2,3
62,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,4,2,4
13,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,1,2,1
258,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,2,2,2
121,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,3,2,3
319,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,4,2,4
170,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,1,2,1
219,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,2,2,2
421,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,3,2,3
471,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,4,2,4
370,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,1,2,1
72,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,2,2,2
23,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,3,2,3
268,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,4,2,4
136,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,1,2,1
334,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,2,2,2
185,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,3,2,3
234,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,4,2,4
436,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,1,2,1
486,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,2,2,2
385,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,3,2,3
87,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,4,2,4
38,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,1,2,1
283,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,2,2,2
146,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,3,2,3
344,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,4,2,4
195,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,1,2,1
244,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,2,2,2
446,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,3,2,3
496,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,4,2,4
395,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,1,2,1
97,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,2,2,2
48,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,3,2,3
293,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,4,2,4
117,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,1,2,1
315,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,2,2,2
166,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,3,2,3
215,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,4,2,4
417,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,1,2,1
467,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,2,2,2
366,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,3,2,3
68,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,4,2,4
19,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,1,2,1
264,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,2,2,2
107,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,3,2,3
305,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,4,2,4
156,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,1,2,1
205,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,2,2,2
407,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,3,2,3
457,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,4,2,4
356,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,1,2,1
58,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,2,2,2
9,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,3,2,3
254,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,4,2,4
102,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,1,2,1
300,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,2,2,2
151,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,3,2,3
