disease,category,severity,text_chunk,chunk_length
Acute Respiratory Syndrome 1,Infectious,Low,"Disease: Acute Respiratory Syndrome 1
Description: Acute Respiratory Syndrome 1 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Viral
Category: Infectious
Severity: Low
Prevalence: Common
Disease Progression: Acute Onset May Resolve With Care
Common Complications: Organ Dysfunction
Primary Management: Medication",364
Chronic Respiratory Syndrome 2,Cardiovascular,Moderate,"Disease: Chronic Respiratory Syndrome 2
Description: Chronic Respiratory Syndrome 2 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Bacterial
Category: Cardiovascular
Severity: Moderate
Prevalence: Uncommon
Disease Progression: Progressive Condition Needing Monitoring
Common Complications: Secondary Infection
Primary Management: Lifestyle",391
Autoimmune Respiratory Syndrome 3,Neurology,High,"Disease: Autoimmune Respiratory Syndrome 3
Description: Autoimmune Respiratory Syndrome 3 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Genetic
Category: Neurology
Severity: High
Prevalence: Rare
Disease Progression: Chronic Condition Requiring Long-Term Management
Common Complications: Inflammation Complications
Primary Management: Diagnostics",399
Idiopathic Respiratory Syndrome 4,Endocrine,Critical,"Disease: Idiopathic Respiratory Syndrome 4
Description: Idiopathic Respiratory Syndrome 4 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Lifestyle
Category: Endocrine
Severity: Critical
Prevalence: Common
Disease Progression: Potentially Severe If Untreated
Common Complications: Metabolic Imbalance
Primary Management: Specialist Referral",391
Primary Respiratory Syndrome 5,Respiratory,Low,"Disease: Primary Respiratory Syndrome 5
Description: Primary Respiratory Syndrome 5 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Autoimmune
Category: Respiratory
Severity: Low
Prevalence: Uncommon
Disease Progression: Acute Onset May Resolve With Care
Common Complications: Neurological Complications
Primary Management: Medication",385
Secondary Respiratory Syndrome 6,Gi,Moderate,"Disease: Secondary Respiratory Syndrome 6
Description: Secondary Respiratory Syndrome 6 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Unknown
Category: Gi
Severity: Moderate
Prevalence: Rare
Disease Progression: Progressive Condition Needing Monitoring
Common Complications: Organ Dysfunction
Primary Management: Lifestyle",375
Progressive Respiratory Syndrome 7,Renal,High,"Disease: Progressive Respiratory Syndrome 7
Description: Progressive Respiratory Syndrome 7 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Metabolic
Category: Renal
Severity: High
Prevalence: Common
Disease Progression: Chronic Condition Requiring Long-Term Management
Common Complications: Secondary Infection
Primary Management: Diagnostics",394
Congenital Respiratory Syndrome 8,Autoimmune,Critical,"Disease: Congenital Respiratory Syndrome 8
Description: Congenital Respiratory Syndrome 8 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Environmental
Category: Autoimmune
Severity: Critical
Prevalence: Uncommon
Disease Progression: Potentially Severe If Untreated
Common Complications: Inflammation Complications
Primary Management: Specialist Referral",405
Inflammatory Respiratory Syndrome 9,Infectious,Low,"Disease: Inflammatory Respiratory Syndrome 9
Description: Inflammatory Respiratory Syndrome 9 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Viral
Category: Infectious
Severity: Low
Prevalence: Rare
Disease Progression: Acute Onset May Resolve With Care
Common Complications: Metabolic Imbalance
Primary Management: Medication",378
Metabolic Respiratory Syndrome 10,Cardiovascular,Moderate,"Disease: Metabolic Respiratory Syndrome 10
Description: Metabolic Respiratory Syndrome 10 Affects Related Physiological Systems And May Present With Characteristic Symptom Clusters.
Cause: Bacterial
Category: Cardiovascular
Severity: Moderate
Prevalence: Common
Disease Progression: Progressive Condition Needing Monitoring
Common Complications: Neurological Complications
Primary Management: Lifestyle",402
