id,disease_name,category,severity,target_demographic,symptoms,description,medical_advice
1,Nosebleed,General,Acute,Male,"bleeding from nose, dry nasal membranes","Acute case of Nosebleed. Bleeding from the inside of the nose, common in dry climates. Target demographic: Male.",Prescription medication might be required.
2,Asthma,Respiratory,Acute,General,"wheezing, shortness of breath, chest tightness, coughing",Acute case of Asthma. A condition in which airways narrow and swell and may produce extra mucus. Target demographic: General.,Rest and hydration recommended.
3,Dehydration,Metabolic,Mild,General,"extreme thirst,  dry mouth",Mild case of Dehydration. Occurs when you use or lose more fluid than you take in. Target demographic: General.,Consult a doctor if symptoms persist for more than 48 hours.
4,Hemorrhoids,Digestive,Acute,Child,"rectal bleeding, itching, pain, swelling",Acute case of Hemorrhoids. Swollen veins in the lowest part of your rectum and anus. Target demographic: Child.,Avoid triggers like spicy food or allergens.
5,Migraine,Neurological,Chronic,Adult,"severe headache, nausea, sensitivity to light, blurred vision",Chronic case of Migraine. A neurological condition characterized by intense headaches. Target demographic: Adult.,Apply ice or heat to the affected area.
6,Contact Dermatitis,Skin,Mild,General,"red rash,  itching",Mild case of Contact Dermatitis. A skin reaction caused by contact with an allergen or irritant. Target demographic: General.,Apply ice or heat to the affected area.
7,Common Cold,Respiratory,Acute,Adult,"runny nose, sore throat, coughing, sneezing",Acute case of Common Cold. A viral infection of the upper respiratory tract. Target demographic: Adult.,Avoid triggers like spicy food or allergens.
8,Dehydration,Metabolic,Acute,Child,"extreme thirst, dry mouth, dark urine, fatigue",Acute case of Dehydration. Occurs when you use or lose more fluid than you take in. Target demographic: Child.,Over-the-counter medication may help.
9,Toothache,Dental,Chronic,Female,"tooth pain, swelling around tooth, fever, drainage",Chronic case of Toothache. Pain in or around a tooth caused by various dental problems. Target demographic: Female.,Home remedies can alleviate symptoms.
10,Tension Headache,Neurological,Chronic,Adult,"dull head pain, pressure across forehead, scalp tenderness","Chronic case of Tension Headache. The most common type of headache, often stress-related. Target demographic: Adult.",Consult a doctor if symptoms persist for more than 48 hours.
11,Dandruff,Skin,Moderate,Elderly,"flaking scalp, itching, dry skin",Moderate case of Dandruff. A common condition that causes the skin on the scalp to flake. Target demographic: Elderly.,Maintain good hygiene.
