symptom,follow_up_question,question_type,expected_values,priority,clinical_category,emergency_flag
Fever,Since how many days?,Duration,Numeric,Medium,Respiratory,Yes
Fever,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Fever,How frequently does it occur?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Fever,When did it start worsening?,Progression,Numeric,Medium,GI,No
Fever,Any associated symptoms present?,Associated Symptom,Yes/No,High,Endocrine,Yes
Fever,Triggered by activity?,Trigger,Yes/No,Low,MSK,No
Fever,Localized or widespread?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Fever,Constant or intermittent?,Pattern,Constant/Intermittent,High,Emergency,No
Fever,Does it affect daily activities?,Impact,Yes/No,Low,General,Yes
Fever,Any emergency warning signs?,Emergency Flag,Yes/No,Medium,Respiratory,No
Cough,Since how many days?,Duration,Numeric,High,Cardiac,Yes
Cough,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Cough,How frequently does it occur?,Frequency,Occasional/Frequent,Medium,GI,Yes
Cough,When did it start worsening?,Progression,Numeric,High,Endocrine,No
Cough,Any associated symptoms present?,Associated Symptom,Yes/No,Low,MSK,Yes
Cough,Triggered by activity?,Trigger,Yes/No,Medium,Dermatology,No
Cough,Localized or widespread?,Location,Localized/Diffuse,High,Emergency,Yes
Cough,Constant or intermittent?,Pattern,Constant/Intermittent,Low,General,No
Cough,Does it affect daily activities?,Impact,Yes/No,Medium,Respiratory,Yes
Cough,Any emergency warning signs?,Emergency Flag,Yes/No,High,Cardiac,No
Fatigue,Since how many days?,Duration,Numeric,Low,Neurology,Yes
Fatigue,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,Medium,GI,No
Fatigue,How frequently does it occur?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Fatigue,When did it start worsening?,Progression,Numeric,Low,MSK,No
Fatigue,Any associated symptoms present?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Fatigue,Triggered by activity?,Trigger,Yes/No,High,Emergency,No
Fatigue,Localized or widespread?,Location,Localized/Diffuse,Low,General,Yes
Fatigue,Constant or intermittent?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Fatigue,Does it affect daily activities?,Impact,Yes/No,High,Cardiac,Yes
Fatigue,Any emergency warning signs?,Emergency Flag,Yes/No,Low,Neurology,No
Breathlessness,Since how many days?,Duration,Numeric,Medium,GI,Yes
Breathlessness,"Mild, moderate or severe?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Breathlessness,How frequently does it occur?,Frequency,Occasional/Frequent,Low,MSK,Yes
Breathlessness,When did it start worsening?,Progression,Numeric,Medium,Dermatology,No
Breathlessness,Any associated symptoms present?,Associated Symptom,Yes/No,High,Emergency,Yes
Breathlessness,Triggered by activity?,Trigger,Yes/No,Low,General,No
Breathlessness,Localized or widespread?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Breathlessness,Constant or intermittent?,Pattern,Constant/Intermittent,High,Cardiac,No
