risk_factor,associated_condition,weight,is_modifiable,risk_type,recommended_action
Age > 60,Heart Disease,Low,No,Genetic,Moderate Monitoring
Age > 60,Heart Disease,Medium,Yes,Environmental,High Monitoring
Age > 60,Heart Disease,High,No,Medical,Immediate Attention
Age > 60,Heart Disease,Critical,Yes,Lifestyle,Preventive
Age > 60,Diabetes,Low,No,Genetic,Moderate Monitoring
Age > 60,Diabetes,Medium,Yes,Environmental,High Monitoring
Age > 60,Diabetes,High,No,Medical,Immediate Attention
Age > 60,Diabetes,Critical,Yes,Lifestyle,Preventive
Age > 60,Hypertension,Low,No,Genetic,Moderate Monitoring
Age > 60,Hypertension,Medium,Yes,Environmental,High Monitoring
Age > 60,Hypertension,High,No,Medical,Immediate Attention
Age > 60,Hypertension,Critical,Yes,Lifestyle,Preventive
Age > 60,Stroke,Low,No,Genetic,Moderate Monitoring
Age > 60,Stroke,Medium,Yes,Environmental,High Monitoring
Age > 60,Stroke,High,No,Medical,Immediate Attention
Age > 60,Stroke,Critical,Yes,Lifestyle,Preventive
Age > 60,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Age > 60,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Age > 60,Kidney Disease,High,No,Medical,Immediate Attention
Age > 60,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Age > 60,Liver Disease,Low,No,Genetic,Moderate Monitoring
Age > 60,Liver Disease,Medium,Yes,Environmental,High Monitoring
Age > 60,Liver Disease,High,No,Medical,Immediate Attention
Age > 60,Liver Disease,Critical,Yes,Lifestyle,Preventive
Age > 60,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Age > 60,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Age > 60,Respiratory Disorder,High,No,Medical,Immediate Attention
Age > 60,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Age > 60,Cancer,Low,No,Genetic,Moderate Monitoring
Age > 60,Cancer,Medium,Yes,Environmental,High Monitoring
Age > 60,Cancer,High,No,Medical,Immediate Attention
Age > 60,Cancer,Critical,Yes,Lifestyle,Preventive
Age > 60,Obesity,Low,No,Genetic,Moderate Monitoring
Age > 60,Obesity,Medium,Yes,Environmental,High Monitoring
Age > 60,Obesity,High,No,Medical,Immediate Attention
Age > 60,Obesity,Critical,Yes,Lifestyle,Preventive
Age > 60,Depression,Low,No,Genetic,Moderate Monitoring
Age > 60,Depression,Medium,Yes,Environmental,High Monitoring
Age > 60,Depression,High,No,Medical,Immediate Attention
Age > 60,Depression,Critical,Yes,Lifestyle,Preventive
Age > 60,Anxiety,Low,No,Genetic,Moderate Monitoring
Age > 60,Anxiety,Medium,Yes,Environmental,High Monitoring
Age > 60,Anxiety,High,No,Medical,Immediate Attention
Age > 60,Anxiety,Critical,Yes,Lifestyle,Preventive
Age > 60,Infection Risk,Low,No,Genetic,Moderate Monitoring
Age > 60,Infection Risk,Medium,Yes,Environmental,High Monitoring
Age > 60,Infection Risk,High,No,Medical,Immediate Attention
Age > 60,Infection Risk,Critical,Yes,Lifestyle,Preventive
Age > 60,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Age > 60,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Age > 60,Metabolic Disorder,High,No,Medical,Immediate Attention
Age > 60,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Age > 60,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Age > 60,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Age > 60,Autoimmune Disease,High,No,Medical,Immediate Attention
Age > 60,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Age > 60,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Age > 60,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Age > 60,Hormonal Disorder,High,No,Medical,Immediate Attention
Age > 60,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Age < 5,Heart Disease,Low,No,Genetic,Moderate Monitoring
Age < 5,Heart Disease,Medium,Yes,Environmental,High Monitoring
Age < 5,Heart Disease,High,No,Medical,Immediate Attention
Age < 5,Heart Disease,Critical,Yes,Lifestyle,Preventive
Age < 5,Diabetes,Low,No,Genetic,Moderate Monitoring
Age < 5,Diabetes,Medium,Yes,Environmental,High Monitoring
Age < 5,Diabetes,High,No,Medical,Immediate Attention
Age < 5,Diabetes,Critical,Yes,Lifestyle,Preventive
Age < 5,Hypertension,Low,No,Genetic,Moderate Monitoring
Age < 5,Hypertension,Medium,Yes,Environmental,High Monitoring
Age < 5,Hypertension,High,No,Medical,Immediate Attention
Age < 5,Hypertension,Critical,Yes,Lifestyle,Preventive
Age < 5,Stroke,Low,No,Genetic,Moderate Monitoring
Age < 5,Stroke,Medium,Yes,Environmental,High Monitoring
Age < 5,Stroke,High,No,Medical,Immediate Attention
Age < 5,Stroke,Critical,Yes,Lifestyle,Preventive
Age < 5,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Age < 5,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Age < 5,Kidney Disease,High,No,Medical,Immediate Attention
Age < 5,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Age < 5,Liver Disease,Low,No,Genetic,Moderate Monitoring
Age < 5,Liver Disease,Medium,Yes,Environmental,High Monitoring
Age < 5,Liver Disease,High,No,Medical,Immediate Attention
Age < 5,Liver Disease,Critical,Yes,Lifestyle,Preventive
Age < 5,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Age < 5,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Age < 5,Respiratory Disorder,High,No,Medical,Immediate Attention
Age < 5,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Age < 5,Cancer,Low,No,Genetic,Moderate Monitoring
Age < 5,Cancer,Medium,Yes,Environmental,High Monitoring
Age < 5,Cancer,High,No,Medical,Immediate Attention
Age < 5,Cancer,Critical,Yes,Lifestyle,Preventive
Age < 5,Obesity,Low,No,Genetic,Moderate Monitoring
Age < 5,Obesity,Medium,Yes,Environmental,High Monitoring
Age < 5,Obesity,High,No,Medical,Immediate Attention
Age < 5,Obesity,Critical,Yes,Lifestyle,Preventive
Age < 5,Depression,Low,No,Genetic,Moderate Monitoring
Age < 5,Depression,Medium,Yes,Environmental,High Monitoring
Age < 5,Depression,High,No,Medical,Immediate Attention
Age < 5,Depression,Critical,Yes,Lifestyle,Preventive
Age < 5,Anxiety,Low,No,Genetic,Moderate Monitoring
Age < 5,Anxiety,Medium,Yes,Environmental,High Monitoring
Age < 5,Anxiety,High,No,Medical,Immediate Attention
Age < 5,Anxiety,Critical,Yes,Lifestyle,Preventive
Age < 5,Infection Risk,Low,No,Genetic,Moderate Monitoring
Age < 5,Infection Risk,Medium,Yes,Environmental,High Monitoring
Age < 5,Infection Risk,High,No,Medical,Immediate Attention
Age < 5,Infection Risk,Critical,Yes,Lifestyle,Preventive
Age < 5,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Age < 5,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Age < 5,Metabolic Disorder,High,No,Medical,Immediate Attention
Age < 5,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Age < 5,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Age < 5,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Age < 5,Autoimmune Disease,High,No,Medical,Immediate Attention
Age < 5,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Age < 5,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Age < 5,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Age < 5,Hormonal Disorder,High,No,Medical,Immediate Attention
Age < 5,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Smoking,Heart Disease,Low,No,Genetic,Moderate Monitoring
Smoking,Heart Disease,Medium,Yes,Environmental,High Monitoring
Smoking,Heart Disease,High,No,Medical,Immediate Attention
Smoking,Heart Disease,Critical,Yes,Lifestyle,Preventive
Smoking,Diabetes,Low,No,Genetic,Moderate Monitoring
Smoking,Diabetes,Medium,Yes,Environmental,High Monitoring
Smoking,Diabetes,High,No,Medical,Immediate Attention
Smoking,Diabetes,Critical,Yes,Lifestyle,Preventive
Smoking,Hypertension,Low,No,Genetic,Moderate Monitoring
Smoking,Hypertension,Medium,Yes,Environmental,High Monitoring
Smoking,Hypertension,High,No,Medical,Immediate Attention
Smoking,Hypertension,Critical,Yes,Lifestyle,Preventive
Smoking,Stroke,Low,No,Genetic,Moderate Monitoring
Smoking,Stroke,Medium,Yes,Environmental,High Monitoring
Smoking,Stroke,High,No,Medical,Immediate Attention
Smoking,Stroke,Critical,Yes,Lifestyle,Preventive
Smoking,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Smoking,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Smoking,Kidney Disease,High,No,Medical,Immediate Attention
Smoking,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Smoking,Liver Disease,Low,No,Genetic,Moderate Monitoring
Smoking,Liver Disease,Medium,Yes,Environmental,High Monitoring
Smoking,Liver Disease,High,No,Medical,Immediate Attention
Smoking,Liver Disease,Critical,Yes,Lifestyle,Preventive
Smoking,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Smoking,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Smoking,Respiratory Disorder,High,No,Medical,Immediate Attention
Smoking,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Smoking,Cancer,Low,No,Genetic,Moderate Monitoring
Smoking,Cancer,Medium,Yes,Environmental,High Monitoring
Smoking,Cancer,High,No,Medical,Immediate Attention
Smoking,Cancer,Critical,Yes,Lifestyle,Preventive
Smoking,Obesity,Low,No,Genetic,Moderate Monitoring
Smoking,Obesity,Medium,Yes,Environmental,High Monitoring
Smoking,Obesity,High,No,Medical,Immediate Attention
Smoking,Obesity,Critical,Yes,Lifestyle,Preventive
Smoking,Depression,Low,No,Genetic,Moderate Monitoring
Smoking,Depression,Medium,Yes,Environmental,High Monitoring
Smoking,Depression,High,No,Medical,Immediate Attention
Smoking,Depression,Critical,Yes,Lifestyle,Preventive
Smoking,Anxiety,Low,No,Genetic,Moderate Monitoring
Smoking,Anxiety,Medium,Yes,Environmental,High Monitoring
Smoking,Anxiety,High,No,Medical,Immediate Attention
Smoking,Anxiety,Critical,Yes,Lifestyle,Preventive
Smoking,Infection Risk,Low,No,Genetic,Moderate Monitoring
Smoking,Infection Risk,Medium,Yes,Environmental,High Monitoring
Smoking,Infection Risk,High,No,Medical,Immediate Attention
Smoking,Infection Risk,Critical,Yes,Lifestyle,Preventive
Smoking,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Smoking,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Smoking,Metabolic Disorder,High,No,Medical,Immediate Attention
Smoking,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Smoking,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Smoking,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Smoking,Autoimmune Disease,High,No,Medical,Immediate Attention
Smoking,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Smoking,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Smoking,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Smoking,Hormonal Disorder,High,No,Medical,Immediate Attention
Smoking,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Alcohol Use,Heart Disease,Low,No,Genetic,Moderate Monitoring
Alcohol Use,Heart Disease,Medium,Yes,Environmental,High Monitoring
Alcohol Use,Heart Disease,High,No,Medical,Immediate Attention
Alcohol Use,Heart Disease,Critical,Yes,Lifestyle,Preventive
Alcohol Use,Diabetes,Low,No,Genetic,Moderate Monitoring
Alcohol Use,Diabetes,Medium,Yes,Environmental,High Monitoring
Alcohol Use,Diabetes,High,No,Medical,Immediate Attention
Alcohol Use,Diabetes,Critical,Yes,Lifestyle,Preventive
Alcohol Use,Hypertension,Low,No,Genetic,Moderate Monitoring
Alcohol Use,Hypertension,Medium,Yes,Environmental,High Monitoring
Alcohol Use,Hypertension,High,No,Medical,Immediate Attention
Alcohol Use,Hypertension,Critical,Yes,Lifestyle,Preventive
Alcohol Use,Stroke,Low,No,Genetic,Moderate Monitoring
Alcohol Use,Stroke,Medium,Yes,Environmental,High Monitoring
Alcohol Use,Stroke,High,No,Medical,Immediate Attention
Alcohol Use,Stroke,Critical,Yes,Lifestyle,Preventive
Alcohol Use,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Alcohol Use,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Alcohol Use,Kidney Disease,High,No,Medical,Immediate Attention
Alcohol Use,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Alcohol Use,Liver Disease,Low,No,Genetic,Moderate Monitoring
Alcohol Use,Liver Disease,Medium,Yes,Environmental,High Monitoring
Alcohol Use,Liver Disease,High,No,Medical,Immediate Attention
Alcohol Use,Liver Disease,Critical,Yes,Lifestyle,Preventive
Alcohol Use,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Alcohol Use,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Alcohol Use,Respiratory Disorder,High,No,Medical,Immediate Attention
Alcohol Use,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Alcohol Use,Cancer,Low,No,Genetic,Moderate Monitoring
Alcohol Use,Cancer,Medium,Yes,Environmental,High Monitoring
Alcohol Use,Cancer,High,No,Medical,Immediate Attention
Alcohol Use,Cancer,Critical,Yes,Lifestyle,Preventive
Alcohol Use,Obesity,Low,No,Genetic,Moderate Monitoring
Alcohol Use,Obesity,Medium,Yes,Environmental,High Monitoring
Alcohol Use,Obesity,High,No,Medical,Immediate Attention
Alcohol Use,Obesity,Critical,Yes,Lifestyle,Preventive
Alcohol Use,Depression,Low,No,Genetic,Moderate Monitoring
Alcohol Use,Depression,Medium,Yes,Environmental,High Monitoring
Alcohol Use,Depression,High,No,Medical,Immediate Attention
Alcohol Use,Depression,Critical,Yes,Lifestyle,Preventive
Alcohol Use,Anxiety,Low,No,Genetic,Moderate Monitoring
Alcohol Use,Anxiety,Medium,Yes,Environmental,High Monitoring
Alcohol Use,Anxiety,High,No,Medical,Immediate Attention
Alcohol Use,Anxiety,Critical,Yes,Lifestyle,Preventive
Alcohol Use,Infection Risk,Low,No,Genetic,Moderate Monitoring
Alcohol Use,Infection Risk,Medium,Yes,Environmental,High Monitoring
Alcohol Use,Infection Risk,High,No,Medical,Immediate Attention
Alcohol Use,Infection Risk,Critical,Yes,Lifestyle,Preventive
Alcohol Use,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Alcohol Use,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Alcohol Use,Metabolic Disorder,High,No,Medical,Immediate Attention
Alcohol Use,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Alcohol Use,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Alcohol Use,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Alcohol Use,Autoimmune Disease,High,No,Medical,Immediate Attention
Alcohol Use,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
