symptom,duration,interpretation,risk_level,clinical_category,emergency_flag,duration_score,temporal_severity_score
Fever,5,Acute condition likely,2,4,1,5,2
Fever,5,Possible infection,3,0,0,5,3
Fever,5,Monitor symptoms,4,3,1,5,4
Fever,5,Requires clinical evaluation,1,1,0,5,1
Fever,5,Chronic condition suspected,2,2,1,5,2
Fever,5,Emergency evaluation needed,3,4,0,5,3
Fever,5,Lifestyle-related issue possible,4,0,1,5,4
Fever,5,Underlying disease progression,1,3,0,5,1
Fever,1,Acute condition likely,2,1,1,1,2
Fever,1,Possible infection,3,2,0,1,3
Fever,1,Monitor symptoms,4,4,1,1,4
Fever,1,Requires clinical evaluation,1,0,0,1,1
Fever,1,Chronic condition suspected,2,3,1,1,2
Fever,1,Emergency evaluation needed,3,1,0,1,3
Fever,1,Lifestyle-related issue possible,4,2,1,1,4
Fever,1,Underlying disease progression,1,4,0,1,1
Fever,4,Acute condition likely,2,0,1,4,2
Fever,4,Possible infection,3,3,0,4,3
Fever,4,Monitor symptoms,4,1,1,4,4
Fever,4,Requires clinical evaluation,1,2,0,4,1
Fever,4,Chronic condition suspected,2,4,1,4,2
Fever,4,Emergency evaluation needed,3,0,0,4,3
Fever,4,Lifestyle-related issue possible,4,3,1,4,4
Fever,4,Underlying disease progression,1,1,0,4,1
Fever,0,Acute condition likely,2,2,1,0,2
Fever,0,Possible infection,3,4,0,0,3
Fever,0,Monitor symptoms,4,0,1,0,4
Fever,0,Requires clinical evaluation,1,3,0,0,1
Fever,0,Chronic condition suspected,2,1,1,0,2
Fever,0,Emergency evaluation needed,3,2,0,0,3
Fever,0,Lifestyle-related issue possible,4,4,1,0,4
Fever,0,Underlying disease progression,1,0,0,0,1
Fever,3,Acute condition likely,2,3,1,3,2
Fever,3,Possible infection,3,1,0,3,3
Fever,3,Monitor symptoms,4,2,1,3,4
Fever,3,Requires clinical evaluation,1,4,0,3,1
Fever,3,Chronic condition suspected,2,0,1,3,2
Fever,3,Emergency evaluation needed,3,3,0,3,3
Fever,3,Lifestyle-related issue possible,4,1,1,3,4
Fever,3,Underlying disease progression,1,2,0,3,1
Fever,2,Acute condition likely,2,4,1,2,2
Fever,2,Possible infection,3,0,0,2,3
Fever,2,Monitor symptoms,4,3,1,2,4
Fever,2,Requires clinical evaluation,1,1,0,2,1
Fever,2,Chronic condition suspected,2,2,1,2,2
Fever,2,Emergency evaluation needed,3,4,0,2,3
Fever,2,Lifestyle-related issue possible,4,0,1,2,4
