disease,description,cause,category,severity,disease_progression,common_complications,prevalence,primary_management
Acute Respiratory Syndrome 1,Acute Respiratory Syndrome 1 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Organ dysfunction,Common,Medication
Chronic Respiratory Syndrome 2,Chronic Respiratory Syndrome 2 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Secondary infection,Uncommon,Lifestyle
Autoimmune Respiratory Syndrome 3,Autoimmune Respiratory Syndrome 3 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Inflammation complications,Rare,Diagnostics
Idiopathic Respiratory Syndrome 4,Idiopathic Respiratory Syndrome 4 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Metabolic imbalance,Common,Specialist Referral
Primary Respiratory Syndrome 5,Primary Respiratory Syndrome 5 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Neurological complications,Uncommon,Medication
Secondary Respiratory Syndrome 6,Secondary Respiratory Syndrome 6 affects related physiological systems and may present with characteristic symptom clusters.,Unknown,GI,Moderate,Progressive condition needing monitoring,Organ dysfunction,Rare,Lifestyle
Progressive Respiratory Syndrome 7,Progressive Respiratory Syndrome 7 affects related physiological systems and may present with characteristic symptom clusters.,Metabolic,Renal,High,Chronic condition requiring long-term management,Secondary infection,Common,Diagnostics
Congenital Respiratory Syndrome 8,Congenital Respiratory Syndrome 8 affects related physiological systems and may present with characteristic symptom clusters.,Environmental,Autoimmune,Critical,Potentially severe if untreated,Inflammation complications,Uncommon,Specialist Referral
Inflammatory Respiratory Syndrome 9,Inflammatory Respiratory Syndrome 9 affects related physiological systems and may present with characteristic symptom clusters.,Viral,Infectious,Low,Acute onset may resolve with care,Metabolic imbalance,Rare,Medication
Metabolic Respiratory Syndrome 10,Metabolic Respiratory Syndrome 10 affects related physiological systems and may present with characteristic symptom clusters.,Bacterial,Cardiovascular,Moderate,Progressive condition needing monitoring,Neurological complications,Common,Lifestyle
Acute Cardiac Syndrome 11,Acute Cardiac Syndrome 11 affects related physiological systems and may present with characteristic symptom clusters.,Genetic,Neurology,High,Chronic condition requiring long-term management,Organ dysfunction,Uncommon,Diagnostics
Chronic Cardiac Syndrome 12,Chronic Cardiac Syndrome 12 affects related physiological systems and may present with characteristic symptom clusters.,Lifestyle,Endocrine,Critical,Potentially severe if untreated,Secondary infection,Rare,Specialist Referral
Autoimmune Cardiac Syndrome 13,Autoimmune Cardiac Syndrome 13 affects related physiological systems and may present with characteristic symptom clusters.,Autoimmune,Respiratory,Low,Acute onset may resolve with care,Inflammation complications,Common,Medication
