symptom,follow_up_question,question_type,expected_values,priority,clinical_category,emergency_flag
Fever,Since how many days?,1,3,2,8,1
Fever,"Mild, moderate or severe?",8,2,3,0,0
Fever,How frequently does it occur?,3,4,1,7,1
Fever,When did it start worsening?,7,3,2,4,0
Fever,Any associated symptoms present?,0,5,3,3,1
Fever,Triggered by activity?,9,5,1,6,0
Fever,Localized or widespread?,5,1,2,1,1
Fever,Constant or intermittent?,6,0,3,2,0
Fever,Does it affect daily activities?,4,5,1,5,1
Fever,Any emergency warning signs?,2,5,2,8,0
Cough,Since how many days?,1,3,3,0,1
Cough,"Mild, moderate or severe?",8,2,1,7,0
Cough,How frequently does it occur?,3,4,2,4,1
Cough,When did it start worsening?,7,3,3,3,0
Cough,Any associated symptoms present?,0,5,1,6,1
Cough,Triggered by activity?,9,5,2,1,0
Cough,Localized or widespread?,5,1,3,2,1
Cough,Constant or intermittent?,6,0,1,5,0
Cough,Does it affect daily activities?,4,5,2,8,1
Cough,Any emergency warning signs?,2,5,3,0,0
Fatigue,Since how many days?,1,3,1,7,1
Fatigue,"Mild, moderate or severe?",8,2,2,4,0
Fatigue,How frequently does it occur?,3,4,3,3,1
Fatigue,When did it start worsening?,7,3,1,6,0
Fatigue,Any associated symptoms present?,0,5,2,1,1
Fatigue,Triggered by activity?,9,5,3,2,0
Fatigue,Localized or widespread?,5,1,1,5,1
Fatigue,Constant or intermittent?,6,0,2,8,0
Fatigue,Does it affect daily activities?,4,5,3,0,1
Fatigue,Any emergency warning signs?,2,5,1,7,0
Breathlessness,Since how many days?,1,3,2,4,1
Breathlessness,"Mild, moderate or severe?",8,2,3,3,0
Breathlessness,How frequently does it occur?,3,4,1,6,1
Breathlessness,When did it start worsening?,7,3,2,1,0
Breathlessness,Any associated symptoms present?,0,5,3,2,1
Breathlessness,Triggered by activity?,9,5,1,5,0
Breathlessness,Localized or widespread?,5,1,2,8,1
Breathlessness,Constant or intermittent?,6,0,3,0,0
Breathlessness,Does it affect daily activities?,4,5,1,7,1
Breathlessness,Any emergency warning signs?,2,5,2,4,0
Chest Pain,Since how many days?,1,3,3,3,1
Chest Pain,"Mild, moderate or severe?",8,2,1,6,0
Chest Pain,How frequently does it occur?,3,4,2,1,1
Chest Pain,When did it start worsening?,7,3,3,2,0
Chest Pain,Any associated symptoms present?,0,5,1,5,1
Chest Pain,Triggered by activity?,9,5,2,8,0
Chest Pain,Localized or widespread?,5,1,3,0,1
Chest Pain,Constant or intermittent?,6,0,1,7,0
Chest Pain,Does it affect daily activities?,4,5,2,4,1
Chest Pain,Any emergency warning signs?,2,5,3,3,0
Headache,Since how many days?,1,3,1,6,1
Headache,"Mild, moderate or severe?",8,2,2,1,0
Headache,How frequently does it occur?,3,4,3,2,1
Headache,When did it start worsening?,7,3,1,5,0
Headache,Any associated symptoms present?,0,5,2,8,1
Headache,Triggered by activity?,9,5,3,0,0
Headache,Localized or widespread?,5,1,1,7,1
Headache,Constant or intermittent?,6,0,2,4,0
Headache,Does it affect daily activities?,4,5,3,3,1
Headache,Any emergency warning signs?,2,5,1,6,0
Dizziness,Since how many days?,1,3,2,1,1
Dizziness,"Mild, moderate or severe?",8,2,3,2,0
Dizziness,How frequently does it occur?,3,4,1,5,1
Dizziness,When did it start worsening?,7,3,2,8,0
Dizziness,Any associated symptoms present?,0,5,3,0,1
Dizziness,Triggered by activity?,9,5,1,7,0
Dizziness,Localized or widespread?,5,1,2,4,1
Dizziness,Constant or intermittent?,6,0,3,3,0
Dizziness,Does it affect daily activities?,4,5,1,6,1
Dizziness,Any emergency warning signs?,2,5,2,1,0
Nausea,Since how many days?,1,3,3,2,1
Nausea,"Mild, moderate or severe?",8,2,1,5,0
Nausea,How frequently does it occur?,3,4,2,8,1
Nausea,When did it start worsening?,7,3,3,0,0
Nausea,Any associated symptoms present?,0,5,1,7,1
Nausea,Triggered by activity?,9,5,2,4,0
Nausea,Localized or widespread?,5,1,3,3,1
Nausea,Constant or intermittent?,6,0,1,6,0
Nausea,Does it affect daily activities?,4,5,2,1,1
Nausea,Any emergency warning signs?,2,5,3,2,0
Vomiting,Since how many days?,1,3,1,5,1
Vomiting,"Mild, moderate or severe?",8,2,2,8,0
Vomiting,How frequently does it occur?,3,4,3,0,1
Vomiting,When did it start worsening?,7,3,1,7,0
Vomiting,Any associated symptoms present?,0,5,2,4,1
Vomiting,Triggered by activity?,9,5,3,3,0
Vomiting,Localized or widespread?,5,1,1,6,1
Vomiting,Constant or intermittent?,6,0,2,1,0
Vomiting,Does it affect daily activities?,4,5,3,2,1
Vomiting,Any emergency warning signs?,2,5,1,5,0
Diarrhea,Since how many days?,1,3,2,8,1
Diarrhea,"Mild, moderate or severe?",8,2,3,0,0
Diarrhea,How frequently does it occur?,3,4,1,7,1
Diarrhea,When did it start worsening?,7,3,2,4,0
Diarrhea,Any associated symptoms present?,0,5,3,3,1
Diarrhea,Triggered by activity?,9,5,1,6,0
Diarrhea,Localized or widespread?,5,1,2,1,1
Diarrhea,Constant or intermittent?,6,0,3,2,0
Diarrhea,Does it affect daily activities?,4,5,1,5,1
Diarrhea,Any emergency warning signs?,2,5,2,8,0
Constipation,Since how many days?,1,3,3,0,1
Constipation,"Mild, moderate or severe?",8,2,1,7,0
Constipation,How frequently does it occur?,3,4,2,4,1
Constipation,When did it start worsening?,7,3,3,3,0
Constipation,Any associated symptoms present?,0,5,1,6,1
Constipation,Triggered by activity?,9,5,2,1,0
Constipation,Localized or widespread?,5,1,3,2,1
Constipation,Constant or intermittent?,6,0,1,5,0
Constipation,Does it affect daily activities?,4,5,2,8,1
Constipation,Any emergency warning signs?,2,5,3,0,0
Abdominal Pain,Since how many days?,1,3,1,7,1
Abdominal Pain,"Mild, moderate or severe?",8,2,2,4,0
Abdominal Pain,How frequently does it occur?,3,4,3,3,1
Abdominal Pain,When did it start worsening?,7,3,1,6,0
Abdominal Pain,Any associated symptoms present?,0,5,2,1,1
Abdominal Pain,Triggered by activity?,9,5,3,2,0
Abdominal Pain,Localized or widespread?,5,1,1,5,1
Abdominal Pain,Constant or intermittent?,6,0,2,8,0
Abdominal Pain,Does it affect daily activities?,4,5,3,0,1
Abdominal Pain,Any emergency warning signs?,2,5,1,7,0
Back Pain,Since how many days?,1,3,2,4,1
Back Pain,"Mild, moderate or severe?",8,2,3,3,0
Back Pain,How frequently does it occur?,3,4,1,6,1
Back Pain,When did it start worsening?,7,3,2,1,0
Back Pain,Any associated symptoms present?,0,5,3,2,1
Back Pain,Triggered by activity?,9,5,1,5,0
Back Pain,Localized or widespread?,5,1,2,8,1
Back Pain,Constant or intermittent?,6,0,3,0,0
Back Pain,Does it affect daily activities?,4,5,1,7,1
Back Pain,Any emergency warning signs?,2,5,2,4,0
Joint Pain,Since how many days?,1,3,3,3,1
Joint Pain,"Mild, moderate or severe?",8,2,1,6,0
Joint Pain,How frequently does it occur?,3,4,2,1,1
Joint Pain,When did it start worsening?,7,3,3,2,0
Joint Pain,Any associated symptoms present?,0,5,1,5,1
Joint Pain,Triggered by activity?,9,5,2,8,0
