disease,description,cause,category,severity,disease_progression,common_complications,prevalence,primary_management
Acute Respiratory Syndrome 1,Acute Respiratory Syndrome 1 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Organ dysfunction,0,2
Chronic Respiratory Syndrome 2,Chronic Respiratory Syndrome 2 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Secondary infection,2,1
Autoimmune Respiratory Syndrome 3,Autoimmune Respiratory Syndrome 3 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Inflammation complications,1,0
Idiopathic Respiratory Syndrome 4,Idiopathic Respiratory Syndrome 4 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Metabolic imbalance,0,3
Primary Respiratory Syndrome 5,Primary Respiratory Syndrome 5 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Neurological complications,2,2
Secondary Respiratory Syndrome 6,Secondary Respiratory Syndrome 6 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Organ dysfunction,1,1
Progressive Respiratory Syndrome 7,Progressive Respiratory Syndrome 7 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Secondary infection,0,0
Congenital Respiratory Syndrome 8,Congenital Respiratory Syndrome 8 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Inflammation complications,2,3
Inflammatory Respiratory Syndrome 9,Inflammatory Respiratory Syndrome 9 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Metabolic imbalance,1,2
Metabolic Respiratory Syndrome 10,Metabolic Respiratory Syndrome 10 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Neurological complications,0,1
Acute Cardiac Syndrome 11,Acute Cardiac Syndrome 11 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Organ dysfunction,2,0
Chronic Cardiac Syndrome 12,Chronic Cardiac Syndrome 12 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Secondary infection,1,3
Autoimmune Cardiac Syndrome 13,Autoimmune Cardiac Syndrome 13 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Inflammation complications,0,2
Idiopathic Cardiac Syndrome 14,Idiopathic Cardiac Syndrome 14 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Metabolic imbalance,2,1
Primary Cardiac Syndrome 15,Primary Cardiac Syndrome 15 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Neurological complications,1,0
Secondary Cardiac Syndrome 16,Secondary Cardiac Syndrome 16 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Organ dysfunction,0,3
Progressive Cardiac Syndrome 17,Progressive Cardiac Syndrome 17 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Secondary infection,2,2
Congenital Cardiac Syndrome 18,Congenital Cardiac Syndrome 18 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Inflammation complications,1,1
Inflammatory Cardiac Syndrome 19,Inflammatory Cardiac Syndrome 19 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Metabolic imbalance,0,0
Metabolic Cardiac Syndrome 20,Metabolic Cardiac Syndrome 20 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Neurological complications,2,3
Acute Neurological Syndrome 21,Acute Neurological Syndrome 21 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Organ dysfunction,1,2
Chronic Neurological Syndrome 22,Chronic Neurological Syndrome 22 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Secondary infection,0,1
Autoimmune Neurological Syndrome 23,Autoimmune Neurological Syndrome 23 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Inflammation complications,2,0
Idiopathic Neurological Syndrome 24,Idiopathic Neurological Syndrome 24 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Metabolic imbalance,1,3
Primary Neurological Syndrome 25,Primary Neurological Syndrome 25 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Neurological complications,0,2
Secondary Neurological Syndrome 26,Secondary Neurological Syndrome 26 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Organ dysfunction,2,1
Progressive Neurological Syndrome 27,Progressive Neurological Syndrome 27 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Secondary infection,1,0
Congenital Neurological Syndrome 28,Congenital Neurological Syndrome 28 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Inflammation complications,0,3
Inflammatory Neurological Syndrome 29,Inflammatory Neurological Syndrome 29 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Metabolic imbalance,2,2
Metabolic Neurological Syndrome 30,Metabolic Neurological Syndrome 30 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Neurological complications,1,1
Acute Renal Syndrome 31,Acute Renal Syndrome 31 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Organ dysfunction,0,0
Chronic Renal Syndrome 32,Chronic Renal Syndrome 32 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Secondary infection,2,3
Autoimmune Renal Syndrome 33,Autoimmune Renal Syndrome 33 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Inflammation complications,1,2
Idiopathic Renal Syndrome 34,Idiopathic Renal Syndrome 34 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Metabolic imbalance,0,1
Primary Renal Syndrome 35,Primary Renal Syndrome 35 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Neurological complications,2,0
Secondary Renal Syndrome 36,Secondary Renal Syndrome 36 affects related physiological systems and may present with characteristic symptom clusters.,4,2,4,Potentially severe if untreated,Organ dysfunction,1,3
Progressive Renal Syndrome 37,Progressive Renal Syndrome 37 affects related physiological systems and may present with characteristic symptom clusters.,0,7,1,Acute onset may resolve with care,Secondary infection,0,2
Congenital Renal Syndrome 38,Congenital Renal Syndrome 38 affects related physiological systems and may present with characteristic symptom clusters.,6,3,2,Progressive condition needing monitoring,Inflammation complications,2,1
Inflammatory Renal Syndrome 39,Inflammatory Renal Syndrome 39 affects related physiological systems and may present with characteristic symptom clusters.,5,6,3,Chronic condition requiring long-term management,Metabolic imbalance,1,0
Metabolic Renal Syndrome 40,Metabolic Renal Syndrome 40 affects related physiological systems and may present with characteristic symptom clusters.,2,0,4,Potentially severe if untreated,Neurological complications,0,3
Acute Hepatic Syndrome 41,Acute Hepatic Syndrome 41 affects related physiological systems and may present with characteristic symptom clusters.,7,4,1,Acute onset may resolve with care,Organ dysfunction,2,2
Chronic Hepatic Syndrome 42,Chronic Hepatic Syndrome 42 affects related physiological systems and may present with characteristic symptom clusters.,1,1,2,Progressive condition needing monitoring,Secondary infection,1,1
Autoimmune Hepatic Syndrome 43,Autoimmune Hepatic Syndrome 43 affects related physiological systems and may present with characteristic symptom clusters.,3,5,3,Chronic condition requiring long-term management,Inflammation complications,0,0
