disease,category,severity,text_chunk,chunk_length
Acute Respiratory Syndrome 1,Infectious,Low,"Disease: Acute Respiratory Syndrome 1
Description: Acute Respiratory Syndrome 1 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Viral
Category: Infectious
Severity: Low
Prevalence: Common
Disease Progression: Acute onset may resolve with care
Common Complications: Organ dysfunction
Primary Management: Medication",364
Chronic Respiratory Syndrome 2,Cardiovascular,Moderate,"Disease: Chronic Respiratory Syndrome 2
Description: Chronic Respiratory Syndrome 2 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Bacterial
Category: Cardiovascular
Severity: Moderate
Prevalence: Uncommon
Disease Progression: Progressive condition needing monitoring
Common Complications: Secondary infection
Primary Management: Lifestyle",391
Autoimmune Respiratory Syndrome 3,Neurology,High,"Disease: Autoimmune Respiratory Syndrome 3
Description: Autoimmune Respiratory Syndrome 3 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Genetic
Category: Neurology
Severity: High
Prevalence: Rare
Disease Progression: Chronic condition requiring long-term management
Common Complications: Inflammation complications
Primary Management: Diagnostics",399
Idiopathic Respiratory Syndrome 4,Endocrine,Critical,"Disease: Idiopathic Respiratory Syndrome 4
Description: Idiopathic Respiratory Syndrome 4 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Lifestyle
Category: Endocrine
Severity: Critical
Prevalence: Common
Disease Progression: Potentially severe if untreated
Common Complications: Metabolic imbalance
Primary Management: Specialist Referral",391
Primary Respiratory Syndrome 5,Respiratory,Low,"Disease: Primary Respiratory Syndrome 5
Description: Primary Respiratory Syndrome 5 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Autoimmune
Category: Respiratory
Severity: Low
Prevalence: Uncommon
Disease Progression: Acute onset may resolve with care
Common Complications: Neurological complications
Primary Management: Medication",385
Secondary Respiratory Syndrome 6,GI,Moderate,"Disease: Secondary Respiratory Syndrome 6
Description: Secondary Respiratory Syndrome 6 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Unknown
Category: GI
Severity: Moderate
Prevalence: Rare
Disease Progression: Progressive condition needing monitoring
Common Complications: Organ dysfunction
Primary Management: Lifestyle",375
Progressive Respiratory Syndrome 7,Renal,High,"Disease: Progressive Respiratory Syndrome 7
Description: Progressive Respiratory Syndrome 7 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Metabolic
Category: Renal
Severity: High
Prevalence: Common
Disease Progression: Chronic condition requiring long-term management
Common Complications: Secondary infection
Primary Management: Diagnostics",394
Congenital Respiratory Syndrome 8,Autoimmune,Critical,"Disease: Congenital Respiratory Syndrome 8
Description: Congenital Respiratory Syndrome 8 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Environmental
Category: Autoimmune
Severity: Critical
Prevalence: Uncommon
Disease Progression: Potentially severe if untreated
Common Complications: Inflammation complications
Primary Management: Specialist Referral",405
Inflammatory Respiratory Syndrome 9,Infectious,Low,"Disease: Inflammatory Respiratory Syndrome 9
Description: Inflammatory Respiratory Syndrome 9 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Viral
Category: Infectious
Severity: Low
Prevalence: Rare
Disease Progression: Acute onset may resolve with care
Common Complications: Metabolic imbalance
Primary Management: Medication",378
Metabolic Respiratory Syndrome 10,Cardiovascular,Moderate,"Disease: Metabolic Respiratory Syndrome 10
Description: Metabolic Respiratory Syndrome 10 affects related physiological systems and may present with characteristic symptom clusters.
Cause: Bacterial
Category: Cardiovascular
Severity: Moderate
Prevalence: Common
Disease Progression: Progressive condition needing monitoring
Common Complications: Neurological complications
Primary Management: Lifestyle",402
