disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_set,possible_diseases,differentiating_factor
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches, headache, nausea, muscle_weakness +  stiff_neck,"Arthritis, Acne, Drug Reaction",Symptom duration
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches, high_fever, headache, nausea, acidity +  indigestion,"Migraine, Hypothyroidism, Hyperthyroidism",Oxygen saturation
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches, high_fever, headache, nausea,itching +  fatigue,"Hepatitis B, Osteoarthristis, Fungal infection",Symptom duration
Fungal infection,itching, skin_rash, dischromic _patches, high_fever, headache, nausea,itching +  skin_rash,"Drug Reaction, Cervical spondylosis, Psoriasis",CBC test
Fungal infection,itching, skin_rash, nodal_skin_eruptions, high_fever, headache, nausea, burning_micturition +  bladder_discomfort,"Urinary tract infection, Alcoholic hepatitis, Heart attack",Oxygen saturation
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches, high_fever, headache, nausea, joint_pain +  vomiting,"hepatitis A, Typhoid, Alcoholic hepatitis",PCR confirmation
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches, high_fever, headache, nausea, skin_rash +  pus_filled_pimples,"Acne, hepatitis A",CBC test
Fungal infection,itching, skin_rash, dischromic _patches, high_fever, headache, nausea, headache +  chest_pain,"Hypertension , Hypoglycemia, Dengue",Oxygen saturation
Fungal infection,itching, skin_rash, nodal_skin_eruptions, high_fever, headache, nausea, stomach_pain +  ulcers_on_tongue,"GERD, Arthritis",Breathlessness
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches, headache, nausea, bladder_discomfort +  foul_smell_of urine,"Urinary tract infection, Hepatitis C, Malaria",Platelet count
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes, headache, nausea,itching +  vomiting,"Jaundice, Hyperthyroidism, Hepatitis E",Breathlessness
Allergy, shivering, chills, watering_from_eyes, high_fever, headache, nausea, fatigue +  weight_gain,"Hypothyroidism, Hepatitis B, Acne",Oxygen saturation
Allergy, continuous_sneezing, chills, watering_from_eyes, high_fever, headache, nausea, headache +  chest_pain,"Hypertension , Hypoglycemia, Gastroenteritis",CBC test
Allergy, continuous_sneezing, shivering, watering_from_eyes, high_fever, headache, nausea, continuous_sneezing +  shivering,"Allergy, Fungal infection",Oxygen saturation
Allergy, continuous_sneezing, shivering, chills, high_fever, headache, nausea, skin_rash +  blackheads,"Acne, Alcoholic hepatitis, Hepatitis C",Platelet count
Allergy, shivering, chills, watering_from_eyes, high_fever, headache, nausea, chills +  fatigue,"Pneumonia, hepatitis A, Arthritis",Oxygen saturation
Allergy, continuous_sneezing, chills, watering_from_eyes, high_fever, headache, nausea, joint_pain +  vomiting,"Hepatitis D, Varicose veins, AIDS",CBC test
Allergy, continuous_sneezing, shivering, watering_from_eyes, high_fever, headache, nausea, weakness_in_limbs +  neck_pain,"Cervical spondylosis, Allergy, AIDS",CBC test
Allergy, continuous_sneezing, shivering, chills, high_fever, headache, nausea, fatigue +  yellowish_skin,"Hepatitis C, Gastroenteritis, Chronic cholestasis",Oxygen saturation
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes, headache, nausea, vomiting +  headache,"(vertigo) Paroymsal  Positional Vertigo, Varicose veins, Common Cold",Breathlessness
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain, muscle_wasting +  patches_in_throat,"AIDS, (vertigo) Paroymsal  Positional Vertigo, Chicken pox",PCR confirmation
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain, nausea, joint_pain +  vomiting,"hepatitis A, Hepatitis C, Hypertension ",Platelet count
GERD, stomach_pain, acidity, vomiting, cough, chest_pain, nausea, vomiting +  fatigue,"Jaundice, Migraine, Hepatitis B",PCR confirmation
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain, nausea, vomiting +  breathlessness,"Heart attack, Cervical spondylosis, Urinary tract infection",PCR confirmation
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain, nausea, fatigue +  cramps,"Varicose veins, Peptic ulcer diseae, Heart attack",Platelet count
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, nausea, constipation +  pain_during_bowel_movements,"Dimorphic hemmorhoids(piles), Hypothyroidism, Alcoholic hepatitis",Platelet count
GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain, nausea, joint_pain +  vomiting,"Hepatitis D, Osteoarthristis, Cervical spondylosis",Oxygen saturation
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain, nausea, vomiting +  indigestion,"Peptic ulcer diseae, AIDS, Tuberculosis",PCR confirmation
GERD, stomach_pain, acidity, vomiting, cough, chest_pain, nausea, fatigue +  yellowish_skin,"Hepatitis C, Peptic ulcer diseae, hepatitis A",Oxygen saturation
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain, nausea, fatigue +  yellowish_skin,"Hepatitis C, Typhoid, GERD",CBC test
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, fatigue +  yellowish_skin,"Hepatitis C, Dengue, Chicken pox",Breathlessness
Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, breathlessness +  sweating,"Heart attack, Migraine",CBC test
Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, joint_pain +  neck_pain,"Osteoarthristis, Hepatitis C, Allergy",CBC test
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, vomiting +  breathlessness,"Heart attack, Hepatitis D, Psoriasis",CBC test
Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes, chills +  vomiting,"Malaria, Urinary tract infection, Chronic cholestasis",Breathlessness
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes, headache +  chest_pain,"Hypertension , AIDS, Bronchial Asthma",Chest pain pattern
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, skin_rash +  joint_pain,"Psoriasis, Hyperthyroidism, Hepatitis E",Travel history
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, chills +  vomiting,"Typhoid, Hyperthyroidism, Diabetes ",PCR confirmation
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, fatigue +  mood_swings,"Hyperthyroidism, Diabetes , Hepatitis E",Platelet count
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, joint_pain +  vomiting,"hepatitis A, Hepatitis D",CBC test
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination, nausea, continuous_sneezing +  chills,"Common Cold, AIDS, Urinary tract infection",Symptom duration
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination, headache, nausea, skin_rash +  chills,"Dengue, Psoriasis, Alcoholic hepatitis",Chest pain pattern
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination, headache, nausea,itching +  fatigue,"Hepatitis B, Arthritis, Peptic ulcer diseae",Oxygen saturation
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination, headache, nausea, acidity +  indigestion,"Migraine, Typhoid, Hepatitis E",CBC test
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, headache, nausea, constipation +  pain_in_anal_region,"Dimorphic hemmorhoids(piles), Hypothyroidism, Peptic ulcer diseae",Breathlessness
Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination, headache, nausea, skin_rash +  high_fever,"Impetigo, Jaundice, Hypoglycemia",Inflammatory markers
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination, headache, nausea, fatigue +  cramps,"Varicose veins, Osteoarthristis, Hypertension ",Platelet count
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination, headache, nausea, fatigue +  cramps,"Varicose veins, Allergy, Hyperthyroidism",Chest pain pattern
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination, headache, nausea,itching +  skin_rash,"Chicken pox, Pneumonia, Psoriasis",Platelet count
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, headache, nausea, patches_in_throat +  high_fever,"AIDS, Gastroenteritis, Hepatitis B",PCR confirmation
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching, nausea, skin_rash +  high_fever,"Impetigo, Paralysis (brain hemorrhage), Psoriasis",Breathlessness
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching, nausea, acidity +  indigestion,"Migraine, Hepatitis B, Bronchial Asthma",Platelet count
Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching, nausea, vomiting +  sunken_eyes,"Gastroenteritis, Common Cold, Migraine",Travel history
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching, nausea, chills +  vomiting,"Tuberculosis, Malaria, GERD",PCR confirmation
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching, nausea, burning_micturition +  bladder_discomfort,"Urinary tract infection, Acne, Hepatitis B",Platelet count
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching, nausea, continuous_sneezing +  chills,"Common Cold, (vertigo) Paroymsal  Positional Vertigo, Chronic cholestasis",Oxygen saturation
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching, nausea,itching +  fatigue,"Hepatitis B, Hypothyroidism, Acne",CBC test
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, nausea, muscle_weakness +  stiff_neck,"Arthritis, Malaria, hepatitis A",Inflammatory markers
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching, fatigue +  cough,"Bronchial Asthma, Typhoid, Diabetes ",Inflammatory markers
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching, muscle_wasting +  patches_in_throat,"AIDS, Typhoid, Bronchial Asthma",Breathlessness
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts, headache, nausea, vomiting +  yellowish_skin,"Alcoholic hepatitis, Allergy, GERD",Oxygen saturation
AIDS, patches_in_throat, high_fever, extra_marital_contacts, high_fever, headache, nausea, chest_pain +  dizziness,"Hypertension , Pneumonia, Typhoid",Platelet count
AIDS, muscle_wasting, high_fever, extra_marital_contacts, high_fever, headache, nausea, vomiting +  headache,"Paralysis (brain hemorrhage), Urinary tract infection, Alcoholic hepatitis",PCR confirmation
AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts, high_fever, headache, nausea, stomach_pain +  ulcers_on_tongue,"GERD, Typhoid, Peptic ulcer diseae",Platelet count
AIDS, muscle_wasting, patches_in_throat, high_fever, high_fever, headache, nausea, joint_pain +  vomiting,"Hepatitis E, Malaria, Gastroenteritis",Breathlessness
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts, headache, nausea, neck_pain +  knee_pain,"Osteoarthristis, Hypertension , Hyperthyroidism",Platelet count
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts, headache, nausea, muscle_wasting +  patches_in_throat,"AIDS, Hepatitis B, Jaundice",Symptom duration
AIDS, patches_in_throat, high_fever, extra_marital_contacts, high_fever, headache, nausea,itching +  skin_rash,"Drug Reaction, Hepatitis E, Dengue",Rash pattern
AIDS, muscle_wasting, high_fever, extra_marital_contacts, high_fever, headache, nausea, chills +  fatigue,"Pneumonia, Hypertension , Jaundice",CBC test
AIDS, muscle_wasting, patches_in_throat, high_fever, high_fever, headache, nausea, skin_rash +  pus_filled_pimples,"Acne, Dengue, Pneumonia",Platelet count
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, chills +  vomiting,"Typhoid, Hypoglycemia, Common Cold",Travel history
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, skin_rash +  blister,"Impetigo, Hepatitis B, Hypothyroidism",Symptom duration
Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, joint_pain +  neck_pain,"Osteoarthristis, AIDS, Hypothyroidism",Symptom duration
Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, chills +  fatigue,"Pneumonia, Urinary tract infection, Peptic ulcer diseae",Breathlessness
Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, vomiting +  headache,"(vertigo) Paroymsal  Positional Vertigo, Hyperthyroidism, Hepatitis D",Travel history
Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, acidity +  indigestion,"Migraine, Osteoarthristis, Allergy",Symptom duration
Diabetes , fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, chills +  joint_pain,"Dengue, Hepatitis C, Hepatitis D",Rash pattern
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, headache +  chest_pain,"Hypertension , Chronic cholestasis, Bronchial Asthma",Rash pattern
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, vomiting +  breathlessness,"Heart attack, Gastroenteritis, Psoriasis",Travel history
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, skin_rash +  high_fever,"Impetigo, Acne, Varicose veins",PCR confirmation
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea, headache, nausea, skin_rash +  pus_filled_pimples,"Acne, Alcoholic hepatitis, Urinary tract infection",Platelet count
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea, headache, nausea, fatigue +  cough,"Bronchial Asthma, Dimorphic hemmorhoids(piles), Osteoarthristis",Breathlessness
Gastroenteritis, sunken_eyes, dehydration, diarrhoea, high_fever, headache, nausea, skin_rash +  chills,"Dengue, Pneumonia, Osteoarthristis",Oxygen saturation
Gastroenteritis, vomiting, dehydration, diarrhoea, high_fever, headache, nausea, joint_pain +  vomiting,"hepatitis A, Tuberculosis, Hepatitis D",Breathlessness
Gastroenteritis, vomiting, sunken_eyes, diarrhoea, high_fever, headache, nausea, continuous_sneezing +  chills,"Common Cold, Varicose veins, GERD",Oxygen saturation
Gastroenteritis, vomiting, sunken_eyes, dehydration, high_fever, headache, nausea, fatigue +  mood_swings,"Hyperthyroidism, Cervical spondylosis, Allergy",Rash pattern
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea, headache, nausea, chills +  vomiting,"Tuberculosis, Bronchial Asthma, AIDS",Platelet count
Gastroenteritis, sunken_eyes, dehydration, diarrhoea, high_fever, headache, nausea, muscle_wasting +  patches_in_throat,"AIDS, Chronic cholestasis, Hepatitis B",Travel history
Gastroenteritis, vomiting, dehydration, diarrhoea, high_fever, headache, nausea, fatigue +  yellowish_skin,"Hepatitis C, Hepatitis B, Malaria",Inflammatory markers
Gastroenteritis, vomiting, sunken_eyes, diarrhoea, high_fever, headache, nausea, vomiting +  headache,"(vertigo) Paroymsal  Positional Vertigo, Allergy, Varicose veins",CBC test
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum, chills +  vomiting,"Tuberculosis, Hepatitis D, Arthritis",Platelet count
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum, nausea,itching +  vomiting,"Jaundice, Gastroenteritis, hepatitis A",Oxygen saturation
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum, nausea, vomiting +  fatigue,"Jaundice, Hypoglycemia, Paralysis (brain hemorrhage)",PCR confirmation
Bronchial Asthma, fatigue, cough, breathlessness, family_history, mucoid_sputum, nausea, chills +  vomiting,"Malaria, Acne, Urinary tract infection",CBC test
Bronchial Asthma, fatigue, cough, high_fever, family_history, mucoid_sputum, nausea, vomiting +  weakness_of_one_body_side,"Paralysis (brain hemorrhage), Urinary tract infection, Acne",Symptom duration
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, mucoid_sputum, nausea, vomiting +  fatigue,"Hypoglycemia, Tuberculosis, GERD",Platelet count
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, nausea,itching +  skin_rash,"Drug Reaction, Peptic ulcer diseae, Migraine",Oxygen saturation
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum, fatigue +  high_fever,"Bronchial Asthma, Hyperthyroidism, Diabetes ",PCR confirmation
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum, nausea,itching +  vomiting,"Chronic cholestasis, Common Cold, Chicken pox",Symptom duration
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum, nausea, joint_pain +  vomiting,"hepatitis A, GERD, Alcoholic hepatitis",Oxygen saturation
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration, nausea, vomiting +  dehydration,"Gastroenteritis, Drug Reaction, Allergy",Breathlessness
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration, headache, nausea, fatigue +  bruising,"Varicose veins, Dengue, Impetigo",Platelet count
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration, headache, nausea, joint_pain +  neck_pain,"Osteoarthristis, Typhoid, Tuberculosis",PCR confirmation
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration, headache, nausea, weakness_in_limbs +  neck_pain,"Cervical spondylosis, Allergy, (vertigo) Paroymsal  Positional Vertigo",Rash pattern
Hypertension , headache, chest_pain, dizziness, lack_of_concentration, headache, nausea, vomiting +  indigestion,"Peptic ulcer diseae, Heart attack, Urinary tract infection",Travel history
Hypertension , headache, chest_pain, dizziness, loss_of_balance, headache, nausea, fatigue +  mood_swings,"Hyperthyroidism, Hypothyroidism, Hypoglycemia",Breathlessness
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration, nausea, continuous_sneezing +  shivering,"Allergy, Hyperthyroidism, Dimorphic hemmorhoids(piles)",Chest pain pattern
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration, headache, nausea, skin_rash +  pus_filled_pimples,"Acne, hepatitis A",Chest pain pattern
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration, headache, nausea, chills +  vomiting,"Tuberculosis, Cervical spondylosis, Varicose veins",PCR confirmation
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration, headache, nausea, constipation +  pain_during_bowel_movements,"Dimorphic hemmorhoids(piles), Fungal infection, Varicose veins",PCR confirmation
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, joint_pain +  vomiting,"Hepatitis D, Diabetes , Hepatitis E",Breathlessness
Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, back_pain +  weakness_in_limbs,"Cervical spondylosis, Arthritis, Dimorphic hemmorhoids(piles)",Oxygen saturation
Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, chills +  vomiting,"Tuberculosis, Acne, Common Cold",PCR confirmation
