drug,disease,dosage,side_effects,contraindications,drug_category,general_precaution,administration_route,population_group,risk_level,disclaimer
400,Fever,10,Nausea,Severe liver disease,1,8,1,0,1,1
297,Pain,7,GI upset,Peptic ulcer,8,1,1,2,2,2
1,Bacterial Infection,10,Rash,Penicillin allergy,2,9,1,1,3,2
349,Type 2 Diabetes,10,Diarrhea,Renal failure,3,3,1,0,4,2
0,Hypertension,8,Edema,Severe hypotension,4,2,1,2,1,2
450,Asthma,3,Tremor,Arrhythmia,5,7,0,1,2,0
399,GERD,4,Headache,Hypersensitivity,9,6,1,0,3,1
348,Hypertension,9,Dizziness,Pregnancy,0,4,1,2,4,2
298,Diabetes,0,Hypoglycemia,Dose errors,7,5,2,1,1,0
2,Respiratory Infection,10,Nausea,QT prolongation,2,0,1,0,2,2
145,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,3,2
343,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,4,2
194,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,1,2
243,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,2,2
445,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,3,2
495,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,4,2
394,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,1,2
96,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,2,2
47,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,3,2
292,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,4,2
116,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,1,2
314,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,2,2
165,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,3,2
214,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,4,2
416,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,1,2
466,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,2,2
365,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,3,2
67,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,4,2
18,General Disorder,5,Varied mild effects,See clinician,6,10,1,2,1,2
263,General Disorder,6,Varied mild effects,See clinician,6,10,1,1,2,2
106,General Disorder,9,Varied mild effects,See clinician,6,10,1,0,3,2
304,General Disorder,1,Varied mild effects,See clinician,6,10,1,2,4,2
155,General Disorder,2,Varied mild effects,See clinician,6,10,1,1,1,2
204,General Disorder,5,Varied mild effects,See clinician,6,10,1,0,2,2
406,General Disorder,6,Varied mild effects,See clinician,6,10,1,2,3,2
456,General Disorder,9,Varied mild effects,See clinician,6,10,1,1,4,2
355,General Disorder,1,Varied mild effects,See clinician,6,10,1,0,1,2
57,General Disorder,2,Varied mild effects,See clinician,6,10,1,2,2,2
8,General Disorder,5,Varied mild effects,See clinician,6,10,1,1,3,2
253,General Disorder,6,Varied mild effects,See clinician,6,10,1,0,4,2
101,General Disorder,9,Varied mild effects,See clinician,6,10,1,2,1,2
299,General Disorder,1,Varied mild effects,See clinician,6,10,1,1,2,2
150,General Disorder,2,Varied mild effects,See clinician,6,10,1,0,3,2
