risk_factor,associated_condition,weight,is_modifiable,risk_type,recommended_action
1,Heart Disease,1,0,1,Moderate Monitoring
1,Heart Disease,2,1,0,High Monitoring
1,Heart Disease,3,0,3,Immediate Attention
1,Heart Disease,4,1,2,Preventive
1,Diabetes,1,0,1,Moderate Monitoring
1,Diabetes,2,1,0,High Monitoring
1,Diabetes,3,0,3,Immediate Attention
1,Diabetes,4,1,2,Preventive
1,Hypertension,1,0,1,Moderate Monitoring
1,Hypertension,2,1,0,High Monitoring
1,Hypertension,3,0,3,Immediate Attention
1,Hypertension,4,1,2,Preventive
1,Stroke,1,0,1,Moderate Monitoring
1,Stroke,2,1,0,High Monitoring
1,Stroke,3,0,3,Immediate Attention
1,Stroke,4,1,2,Preventive
1,Kidney Disease,1,0,1,Moderate Monitoring
1,Kidney Disease,2,1,0,High Monitoring
1,Kidney Disease,3,0,3,Immediate Attention
1,Kidney Disease,4,1,2,Preventive
1,Liver Disease,1,0,1,Moderate Monitoring
1,Liver Disease,2,1,0,High Monitoring
1,Liver Disease,3,0,3,Immediate Attention
1,Liver Disease,4,1,2,Preventive
1,Respiratory Disorder,1,0,1,Moderate Monitoring
1,Respiratory Disorder,2,1,0,High Monitoring
1,Respiratory Disorder,3,0,3,Immediate Attention
1,Respiratory Disorder,4,1,2,Preventive
1,Cancer,1,0,1,Moderate Monitoring
1,Cancer,2,1,0,High Monitoring
1,Cancer,3,0,3,Immediate Attention
1,Cancer,4,1,2,Preventive
1,Obesity,1,0,1,Moderate Monitoring
1,Obesity,2,1,0,High Monitoring
1,Obesity,3,0,3,Immediate Attention
1,Obesity,4,1,2,Preventive
1,Depression,1,0,1,Moderate Monitoring
1,Depression,2,1,0,High Monitoring
1,Depression,3,0,3,Immediate Attention
1,Depression,4,1,2,Preventive
1,Anxiety,1,0,1,Moderate Monitoring
1,Anxiety,2,1,0,High Monitoring
1,Anxiety,3,0,3,Immediate Attention
1,Anxiety,4,1,2,Preventive
1,Infection Risk,1,0,1,Moderate Monitoring
1,Infection Risk,2,1,0,High Monitoring
1,Infection Risk,3,0,3,Immediate Attention
1,Infection Risk,4,1,2,Preventive
1,Metabolic Disorder,1,0,1,Moderate Monitoring
1,Metabolic Disorder,2,1,0,High Monitoring
1,Metabolic Disorder,3,0,3,Immediate Attention
1,Metabolic Disorder,4,1,2,Preventive
1,Autoimmune Disease,1,0,1,Moderate Monitoring
1,Autoimmune Disease,2,1,0,High Monitoring
1,Autoimmune Disease,3,0,3,Immediate Attention
1,Autoimmune Disease,4,1,2,Preventive
1,Hormonal Disorder,1,0,1,Moderate Monitoring
1,Hormonal Disorder,2,1,0,High Monitoring
1,Hormonal Disorder,3,0,3,Immediate Attention
1,Hormonal Disorder,4,1,2,Preventive
0,Heart Disease,1,0,1,Moderate Monitoring
0,Heart Disease,2,1,0,High Monitoring
0,Heart Disease,3,0,3,Immediate Attention
0,Heart Disease,4,1,2,Preventive
0,Diabetes,1,0,1,Moderate Monitoring
0,Diabetes,2,1,0,High Monitoring
0,Diabetes,3,0,3,Immediate Attention
0,Diabetes,4,1,2,Preventive
0,Hypertension,1,0,1,Moderate Monitoring
0,Hypertension,2,1,0,High Monitoring
0,Hypertension,3,0,3,Immediate Attention
0,Hypertension,4,1,2,Preventive
0,Stroke,1,0,1,Moderate Monitoring
0,Stroke,2,1,0,High Monitoring
0,Stroke,3,0,3,Immediate Attention
0,Stroke,4,1,2,Preventive
0,Kidney Disease,1,0,1,Moderate Monitoring
0,Kidney Disease,2,1,0,High Monitoring
0,Kidney Disease,3,0,3,Immediate Attention
0,Kidney Disease,4,1,2,Preventive
0,Liver Disease,1,0,1,Moderate Monitoring
0,Liver Disease,2,1,0,High Monitoring
0,Liver Disease,3,0,3,Immediate Attention
0,Liver Disease,4,1,2,Preventive
0,Respiratory Disorder,1,0,1,Moderate Monitoring
0,Respiratory Disorder,2,1,0,High Monitoring
0,Respiratory Disorder,3,0,3,Immediate Attention
0,Respiratory Disorder,4,1,2,Preventive
0,Cancer,1,0,1,Moderate Monitoring
0,Cancer,2,1,0,High Monitoring
0,Cancer,3,0,3,Immediate Attention
0,Cancer,4,1,2,Preventive
0,Obesity,1,0,1,Moderate Monitoring
0,Obesity,2,1,0,High Monitoring
0,Obesity,3,0,3,Immediate Attention
0,Obesity,4,1,2,Preventive
0,Depression,1,0,1,Moderate Monitoring
0,Depression,2,1,0,High Monitoring
0,Depression,3,0,3,Immediate Attention
0,Depression,4,1,2,Preventive
0,Anxiety,1,0,1,Moderate Monitoring
0,Anxiety,2,1,0,High Monitoring
0,Anxiety,3,0,3,Immediate Attention
0,Anxiety,4,1,2,Preventive
0,Infection Risk,1,0,1,Moderate Monitoring
0,Infection Risk,2,1,0,High Monitoring
0,Infection Risk,3,0,3,Immediate Attention
0,Infection Risk,4,1,2,Preventive
0,Metabolic Disorder,1,0,1,Moderate Monitoring
0,Metabolic Disorder,2,1,0,High Monitoring
0,Metabolic Disorder,3,0,3,Immediate Attention
0,Metabolic Disorder,4,1,2,Preventive
0,Autoimmune Disease,1,0,1,Moderate Monitoring
0,Autoimmune Disease,2,1,0,High Monitoring
0,Autoimmune Disease,3,0,3,Immediate Attention
0,Autoimmune Disease,4,1,2,Preventive
0,Hormonal Disorder,1,0,1,Moderate Monitoring
0,Hormonal Disorder,2,1,0,High Monitoring
0,Hormonal Disorder,3,0,3,Immediate Attention
0,Hormonal Disorder,4,1,2,Preventive
42,Heart Disease,1,0,1,Moderate Monitoring
42,Heart Disease,2,1,0,High Monitoring
42,Heart Disease,3,0,3,Immediate Attention
42,Heart Disease,4,1,2,Preventive
42,Diabetes,1,0,1,Moderate Monitoring
42,Diabetes,2,1,0,High Monitoring
42,Diabetes,3,0,3,Immediate Attention
42,Diabetes,4,1,2,Preventive
42,Hypertension,1,0,1,Moderate Monitoring
42,Hypertension,2,1,0,High Monitoring
